"","nbr.val","nbr.null","nbr.na","min","max","range","sum","median","mean","SE.mean","CI.mean.0.95","var","std.dev","coef.var"
"VALUESCORE1",94493,0,732,0.00402390184902817,0.959115013604104,0.955091111755076,39973.4345272512,0.402919780609146,0.423030642769847,0.000666183313966439,0.00130571202756793,0.0419360130363359,0.204782843608384,0.484085129785261
"VALUESCORE2",94493,0,732,0.00402390184902817,0.954306628409103,0.950282726560075,38799.743226008,0.393989864823529,0.410609708930905,0.000632426268991595,0.00123954858769374,0.0377937024087545,0.194406024620521,0.473456960203624
"VALUESCORE3",94430,0,795,0.00318471337579618,1,0.996815286624204,87582.644000772,1,0.927487493389517,0.000664891358702942,0.00130317982048316,0.0417456633976348,0.20431755528499,0.220291439767353
"VALUESCORE4",94426,17408,799,0,0.991391217289637,0.991391217289637,31531.410712095,0.283316683316683,0.333927209794919,0.000929199686665304,0.00182122126520224,0.0815285469602763,0.285532041915222,0.855072703091736
"VALUESCORE5",94489,0,736,0.000554607508532423,0.994415839049242,0.99386123154071,46326.0996886536,0.492089093701997,0.490280346798607,0.000729118498035083,0.0014290643025185,0.0502316548530945,0.224124195153255,0.457134773230711
"VALUESCORE6",94426,0,799,0.000526916659348381,0.98469630624803,0.984169389588682,40412.3129581369,0.40411405783166,0.427978660095068,0.000760304838495779,0.00149018920235972,0.0545842190879782,0.233632658436226,0.545897915527678
"VALUESCORE7",94426,27081,799,0,0.999422632794457,0.999422632794457,33878.5728825215,0.303921568627451,0.358784369585935,0.001083033571497,0.00212273400394369,0.110758083088454,0.332803370007658,0.927586032779909
"VALUESCORE8",94426,25708,799,0,0.999424626006905,0.999424626006905,34699.8476421501,0.319512195121951,0.367481918562155,0.00108520674748056,0.00212699340520165,0.111203015358784,0.333471161210057,0.907449167879683
"VALUESCORE9",94290,54376,935,0,0.998866213151927,0.998866213151927,20103.4477048842,0,0.213208693444524,0.000975078886481628,0.00191114403247001,0.0896489363391618,0.299414322201129,1.40432511153226
"VALUESCORE10",94430,0,795,0.000968992248062015,0.999580184718724,0.998611192470662,47652.4010022688,0.503202909031229,0.504632013155446,0.000934584754117734,0.00183177593776127,0.0824797572120854,0.287192891994362,0.569113501536605
"VALUESCORE11",94426,47475,799,0,0.995283018867924,0.995283018867924,23416.6021397597,0,0.247988924022618,0.00104386609601817,0.0020459661786097,0.102891897720778,0.320767669382028,1.29347578988154
"VALUESCORE12",94430,300,795,0,0.999580184718724,0.999580184718724,47730.6945391756,0.502793296089385,0.505461130352383,0.000931750435403248,0.00182622070395474,0.0819802424599354,0.286321921025854,0.566456852629289
"VALUESCORE13",94426,16262,799,0,0.999565972222222,0.999565972222222,39432.9043804682,0.359307359307359,0.417606425989327,0.00100712143895943,0.00197394705099019,0.095775686794838,0.309476472118379,0.741072102483137
"VALUESCORE14",94493,0,732,0.000157629255989912,0.999875838092873,0.999718208836883,48687.1833252641,0.517045454545455,0.515246455560349,0.000918693839374462,0.00180062990257397,0.0797519380240903,0.282403856248618,0.548094709242578
"VALUESCORE15",94493,0,732,0.000124192747143567,0.999875838092873,0.999751645345729,48451.0038658733,0.51280737704918,0.512747016878216,0.000919034692235833,0.00180129797046368,0.079811127969511,0.282508633442433,0.550970798742906
"VALUESCORE16",94493,32491,732,0,0.999781754692274,0.999781754692274,31382.5623890024,0.247910863509749,0.33211520841758,0.00108284104531388,0.00212235663543172,0.11079726911675,0.332862237444788,1.00224930689193
"VALUESCORE17",22001,0,73224,0.265,0.825,0.56,11697.8416813236,0.53,0.531695908427961,0.000564825735716614,0.00110709900828729,0.00701893748612365,0.0837790993394155,0.157569576916853
"VALUESCORE18",45160,1857,50065,0,0.84,0.84,11151.9534917733,0.23,0.246943168551225,0.000700146999433842,0.0013722996835342,0.0221376948680601,0.148787415019081,0.602516829649478
"VALUESCORE19",45160,11059,50065,0,1,1,15300.7855753135,0.38,0.338812789533072,0.00113593210578496,0.0022264456900416,0.0582718333827194,0.241395595201568,0.712474861218323
"VALUESCORE20",45160,21855,50065,0,1,1,7703.33474270005,0.04,0.17057871440877,0.00100106370847491,0.00196210140363174,0.0452561252468972,0.212734870782618,1.24713608916542
"VALUESCORE21",45160,0,50065,0.25,1,0.75,44856.09,1,0.993270372010629,0.000199183971689241,0.000390403874522437,0.00179168933673797,0.0423283514531097,0.0426151354614821
"VALUESCORE24",1179,0,94046,0.00252525252525253,0.997175141242938,0.994649888717685,579.372366242779,0.5,0.491409979849686,0.0080317317003019,0.0157580956173065,0.0760557739305431,0.275782113144676,0.561205763930626
"VALUESCORE25",89170,55762,6055,0,0.96875,0.96875,26675.5677849151,0,0.299154062856511,0.00129974763628032,0.00254749313532719,0.150638797169511,0.388122142075804,1.29739886655648
"VALUESCORE28",8819,8819,86406,0,0,0,0,0,0,0,0,0,0,NA
"VALUESCORE33",2591,2236,92634,0,0.970588235294118,0.970588235294118,321.59363981658,0,0.124119505911455,0.00614562602112146,0.0120508372435605,0.0978587514251382,0.312823834490178,2.52034385887212
"VALUESCORE36",7427,6400,87798,0,0.96797153024911,0.96797153024911,941.909017992804,0,0.126822272518218,0.00367653643784554,0.00720705368138049,0.100390166167992,0.316844072325793,2.49833145262618
